10
1,1,6,61,225838
2,2,6,65,112411
3,3,3,28,44860
4,4,5,63,83032
5,5,4,23,41978
6,6,5,39,72679
7,7,5,39,59781
8,8,6,66,93444
9,9,4,44,75743
10,10,11,80,125513
11,11,11,64,99294
12,11,7,54,78457
13,11,11,66,103324
14,11,11,75,109645
15,11,11,75,303849
16,11,7,65,177074
17,11,6,65,105043
18,11,8,59,142944
19,11,6,61,133772
20,11,8,58,142322
21,11,10,80,185353
22,11,7,86,177550
23,11,7,65,154986
24,11,4,30,83694
25,11,11,122,251593
26,11,5,39,111242
27,11,9,122,141316
28,11,5,43,62925
29,11,7,65,130242
30,11,8,64,133625
31,11,5,91,177394
32,11,10,80,193293
33,11,8,70,198378
34,11,8,52,136407
35,11,5,48,99479
36,11,6,62,86683
37,11,6,56,73593
38,11,6,58,94109
39,11,6,67,79794
40,11,7,72,84180
41,11,7,80,94300
42,11,7,65,78972
43,11,6,56,67196
44,11,6,44,61693
45,11,5,48,61661
46,11,7,62,76253
47,11,7,72,85000
48,11,7,68,106854
49,11,6,58,71488
50,11,7,65,80150
51,11,5,50,60885
52,11,6,57,69003
53,11,7,72,88266
54,11,6,47,63754
55,11,6,56,70308
56,11,7,80,91009
57,11,7,80,91225
58,11,9,68,87970
59,11,5,39,57170
60,11,3,21,67520
61,11,5,42,57734
62,11,6,57,69841
63,11,7,75,88067
64,11,7,58,72499
65,11,7,59,72881
66,11,6,56,71198
67,11,7,64,76014
68,11,5,39,54031
69,11,6,50,66687
70,11,10,70,93100
71,11,7,65,80074
72,11,9,53,78984
73,11,5,48,63443
74,11,5,51,63488
75,11,7,69,84119
76,11,7,68,82343
77,11,8,59,79140
78,11,8,59,80708
79,11,8,59,81930
80,11,6,58,77756
81,11,5,43,57016
82,11,6,55,73976
83,11,9,53,74792
84,11,5,43,67809
85,11,3,17,33759
86,11,5,36,60436
87,11,5,77,89934
88,11,7,65,86790
89,11,6,51,70378
90,11,9,53,87392
91,11,7,68,90062
92,11,7,53,80055
93,11,5,63,91005
94,11,5,67,81743
95,11,7,85,123460
96,11,7,65,82196
97,11,2,29,64039
98,11,7,80,103188
99,11,6,55,67075
100,11,5,50,63009
101,11,7,60,73573
102,11,8,63,79614
103,11,9,153,149985
104,11,5,46,70309
105,11,6,44,61972
106,11,7,65,80916
107,11,9,67,86432
108,11,7,78,91807
109,11,7,78,89888
110,11,7,71,82983
111,11,7,72,83613
112,11,7,55,70778
113,11,9,153,146414
114,11,5,41,60373
115,11,6,52,66515
116,11,6,54,68046
117,11,6,48,64146
118,11,5,46,59860
119,11,8,59,78561
120,11,8,65,87744
121,11,7,80,91732
122,11,6,58,69713
123,11,7,68,97489
124,11,10,122,207796
125,11,7,85,143672
126,11,5,29,58598
127,11,8,58,81311
128,11,7,65,96065
129,11,7,47,72057
130,11,4,26,44143
131,11,7,65,1663297
132,11,5,37,1389468
133,11,4,33,80147
134,11,4,46,65430
135,11,7,65,91859
136,11,4,31,58794
137,11,5,38,77801
138,11,7,65,92335
139,11,4,34,52758
140,11,4,28,56393
141,11,5,35,62227
142,11,11,122,154159
143,11,7,80,119133
144,11,5,36,76706
145,11,4,51,67057
146,11,4,30,72372
147,11,4,29,49817
148,11,5,36,98039
149,11,5,39,63609
150,11,3,18,37808
151,11,5,50,70064
152,11,18,125,170776
153,11,5,34,63196
154,11,6,58,79814
155,11,6,52,74030
156,11,3,20,42749
157,11,7,68,86429
